"rt","direction","colour","response","time_elapsed"
"837","up","0","0","118654"
"541","up","1","0","122208"
"784","up","2","0","125758"
"687","up","3","0","129958"
"533","up","4","0","133261"
"1476","up","5","0","138000"
"812","up","6","0","142324"
"509","up","7","0","146848"
"514","up","8","0","150875"
"956","up","9","1","155843"
"1004","down","19","1","160865"
"731","down","18","1","163860"
"684","down","17","1","166807"
"763","down","16","1","171091"
"809","down","15","1","175418"
"805","down","14","1","179989"
"715","down","13","1","184221"
"861","down","12","1","188599"
"758","down","11","1","193125"
"527","down","10","1","196668"
"918","down","9","0","200600"
"505","up","0","0","204873"
"606","up","1","0","208742"
"1021","up","2","0","212526"
"560","up","3","0","216601"
"712","up","4","0","220325"
"652","up","5","0","223990"
"1250","up","6","0","228501"
"953","up","7","0","233217"
"554","up","8","0","237037"
"546","up","9","0","241094"
"645","up","10","1","245750"
"528","down","19","1","249540"
"557","down","18","1","253118"
"580","down","17","1","257966"
"494","down","16","1","262228"
"828","down","15","1","266074"
"930","down","14","1","270018"
"750","down","13","1","274532"
"980","down","12","1","279277"
"649","down","11","1","283441"
"509","down","10","1","287966"
"807","down","9","0","291791"
"673","up","0","0","295226"
"612","up","1","0","299603"
"998","up","2","0","304867"
"2061","up","3","0","309941"
"1995","up","4","0","315702"
"1037","up","5","0","320003"
"625","up","6","0","324391"
"966","up","7","0","328873"
"1079","up","8","0","332217"
"796","up","9","0","336777"
"770","up","10","0","341560"
"644","up","11","1","345966"
"867","down","19","1","349347"
"649","down","18","1","353758"
"1168","down","17","1","358440"
"740","down","16","1","362942"
"821","down","15","1","367526"
"753","down","14","1","371541"
"784","down","13","1","376090"
"637","down","12","1","379492"
"895","down","11","1","384149"
"4036","down","10","0","391198"
