"rt","bg","fg","ratio","response","time_elapsed","group"
"3303","#f8f8f8","#dedede","1.2667975180192","13","66981","Grey"
"3564","#3f3f3f","#8d8d8d","3.1728663170811098","54","70547","Grey"
"2481","#535353","#d3d3d3","5.138485445067679","67","73030","Grey"
"2756","#e0e0e0","#e2e2e2","1.0190095739418352","10","75789","Grey"
"6974","#090909","#c0c0c0","10.944359023486859","110","82764","Grey"
"4805","#bcbcbc","#989898","1.5189659396440314","35","87572","Grey"
"3815","#d8d8d8","#2d2d2d","9.6625591002638","120","91389","Grey"
"3980","#626262","#aaaaaa","2.6256593676022013","44","95372","Grey"
"3156","#656565","#f6f6f6","5.393587540558717","71","98530","Grey"
"5332","#bfbfbf","#414141","5.55115673223091","43","103864","Grey"
"3873","#666666","#878787","1.5983146779172293","18","107739","Grey"
"2931","#cccccc","#bcbcbc","1.182570723800985","14","110672","Grey"
"3455","#ababab","#a4a4a4","1.0854684495153966","10","114130","Grey"
"3089","#f6f6f6","#646464","5.475623068853546","72","117222","Grey"
"5239","#b1b1b1","#020202","9.675670394867694","64","122463","Grey"
"2547","#bfbfbf","#afafaf","1.1928283039738252","13","125013","Grey"
"6741","#f3f3f3","#acacac","2.0457992967326804","36","131756","Grey"
"2813","#ededed","#7e7e7e","3.4676928738201784","42","134572","Grey"
"3748","#e2e2e2","#a3a3a3","1.9471938751738855","36","138322","Grey"
"3131","#c8c8c8","#d2d2d2","1.106598672028611","12","141455","Grey"
"3631","#545454","#f9f9f9","7.192689190882823","95","145089","Grey"
"4515","#030303","#f7f7f7","19.25161410602558","162","149606","Grey"
"4581","#ffffff","#252525","15.328417894601541","136","154189","Grey"
"3331","#fbfbfb","#e2e2e2","1.2518884278532239","17","157522","Grey"
"3163","#e3e3e3","#e0e0e0","1.0285979599231232","10","160689","Grey"
"3498","#898989","#818181","1.1136516043021167","15","164190","Grey"
"3220","#dfdfdf","#b1b1b1","1.6091062295529843","32","167413","Grey"
"7008","#505050","#848484","2.1558933797204523","34","174423","Grey"
"3446","#e3e3e3","#d1d1d1","1.1898703705488447","13","177871","Grey"
"5382","#c0c0c0","#d6d6d6","1.2518180944818207","29","183256","Grey"
"3858","#51e30f","#ffcf1e","1.1499853568546976","35","191223","Colour"
"2540","#8521cd","#e2b101","3.398469188390149","63","193765","Colour"
"3364","#0a6bfb","#f4cf99","3.156300495355233","75","197131","Colour"
"6772","#cf65ff","#dbb1c9","1.6015227981005729","26","203905","Colour"
"3590","#a652ea","#8d5bb1","1.1765015618986139","13","207497","Colour"
"5115","#7618d4","#713257","1.2420072174987276","43","212614","Colour"
"5224","#103761","#2f3051","1.0473128368062048","14","217839","Colour"
"3297","#b49166","#850a37","3.427027133731606","85","221138","Colour"
"2856","#11c3c1","#9eaad6","1.0463458083315311","13","223997","Colour"
"4809","#03f82e","#28f8ae","1.0454793145832892","18","228808","Colour"
"3703","#df12cf","#8a776a","1.0401034136339553","46","232513","Colour"
"3165","#01c4c8","#3f28b9","4.392514030419732","73","235680","Colour"
"4607","#4b8db2","#7f9197","1.1125602469913598","12","240288","Colour"
"3706","#a37f7a","#f0e580","2.762044781300993","54","243997","Colour"
"5030","#7e507d","#bf7108","1.6755617760042592","40","249029","Colour"
"5233","#382a4f","#d40848","2.4361889833947727","86","254264","Colour"
"3548","#ed9212","#e1c154","1.3710869979398754","50","257814","Colour"
"2588","#bd8ac4","#bb3708","2.0738144224320867","76","260405","Colour"
"2915","#345aec","#de43d0","1.5235719081970818","58","263322","Colour"
"4735","#0bdd19","#d8f1ee","1.5598234066017227","87","268059","Colour"
"3044","#2d1f98","#1c1875","1.2255357526394783","13","271104","Colour"
"3772","#053953","#925e9c","2.506881781792907","58","274879","Colour"
"5699","#8c46f1","#1eb105","1.72393473732602","45","280579","Colour"
"2791","#2bf252","#458f15","2.6816482833050372","76","283371","Colour"
"3665","#d0436c","#7ffcad","3.4947146299516394","87","287038","Colour"
"4367","#03a4d8","#daeace","2.277895384577723","65","291406","Colour"
"3097","#722ebe","#7ce00c","4.3948688343796585","70","294504","Colour"
"4801","#8d6595","#d574ff","1.7550543673444288","23","299307","Colour"
"7997","#7f7245","#06fdae","3.564985113104884","51","307306","Colour"
"4055","#4a1e68","#f6fa2b","11.109246430999479","110","311363","Colour"
"3233","#a03ea9","#794a26","1.3319251991402608","33","314593","Colour"
"2245","#669f75","#051689","4.574254308950315","66","316840","Colour"
"2455","#701dfe","#ba79ac","1.9474455254737613","50","319295","Colour"
"4190","#ae43db","#728b23","1.174534604761813","27","323484","Colour"
"3239","#28111b","#747aa7","4.286202540684246","70","326723","Colour"
"3455","#eca739","#ff9d74","1.0171215614697942","14","330178","Colour"
"5372","#7ba6f2","#f1fa38","2.1531470689302417","48","335550","Colour"
"2432","#348fdb","#ace8a1","2.4289408021671193","39","337983","Colour"
"12516","#01bcf8","#b8e004","1.4347671236790878","48","350499","Colour"
"3997","#6e28fa","#5da729","2.0989123226162354","46","354497","Colour"
"7239","#2902a1","#d0812e","4.241776434426294","82","361738","Colour"
"3680","#d9a268","#471f34","6.15683577615451","110","365421","Colour"
"3257","#a9d27e","#3dd63e","1.1212779405603426","20","368679","Colour"
"20050","#82b1d3","#2b6077","3.0170615575001207","70","388730","Colour"
"2563","#53eae5","#acc7c6","1.215471831445204","19","391295","Colour"
"2497","#607bf6","#691b47","3.062796382508922","64","393794","Colour"
"5431","#b13884","#e664ce","1.8784997846344402","58","399227","Colour"
"2295","#6dc914","#a05112","2.7211549160839974","68","401525","Colour"
"3243","#0b5de9","#0f2637","2.777069234962747","76","404769","Colour"
"5748","#790991","#cee25b","6.4813874532679","69","410519","Colour"
"3356","#5cdae6","#baa64a","1.4611711280357669","33","413877","Colour"
"2724","#fe3fb7","#b2da20","1.9583166988545968","59","416603","Colour"
"4222","#648137","#38e134","2.5306061614729485","47","420827","Colour"
"4199","#6aa094","#191b32","5.681542563645391","52","425028","Colour"
"3322","#afb09d","#80ee6c","1.5088773234942525","31","428352","Colour"
"3366","#bec74d","#22ae30","1.6002479472273856","41","431720","Colour"
"2489","#810a57","#ccdd50","6.633302501402706","60","434211","Colour"
"3849","#fdb89f","#0dd90b","1.1449041835702716","43","438062","Colour"
"2739","#83cc8e","#cb37fb","2.0064312451132063","70","440803","Colour"
"2922","#b7a5f2","#8f4127","3.276852465884934","64","443727","Colour"
"5275","#feaad8","#f25a57","1.8752344219373753","49","449003","Colour"
"2522","#e3a461","#8cba86","1.0280587028754429","27","451527","Colour"
"2815","#1dda2a","#1ea30e","1.764046388894452","40","454344","Colour"
"2448","#8154cc","#70ae43","1.920818600371251","47","456793","Colour"
"2816","#0c6d53","#0902ca","1.7766814239422408","35","459610","Colour"
"4190","#0e2d04","#182437","1.0367097462693915","13","463802","Colour"
"5797","#c6c5c7","#c9a5a3","1.29995825658733","35","469602","Colour"
"2584","#5e85c1","#8b6b56","1.2919672632773103","42","472187","Colour"
"2373","#396cad","#22af46","1.858148832742024","56","474561","Colour"
"2265","#d2f53b","#47871a","3.551587638340255","85","476829","Colour"
