"rt","l_time","r_time","delay","l_vel","r_vel","atten","signed","response","time_elapsed"
"2330","0.1","0.10325000000000001","0.0032500000000000003","1","0.8068284528579788","0.8068284528579788","0.0032500000000000003","-16","15818"
"2344","0.10425000000000001","0.1","0.00425","0.3744256544622735","1","0.3744256544622735","-0.00425","22","19676"
"2611","0.1","0.1095","0.0095","1","0.47773721154954696","0.47773721154954696","0.0095","-36","23800"
"2484","0.1","0.1","0","1","0.058531140266673276","0.058531140266673276","0","-19","27799"
"2403","0.101","0.1","0.001","0.4007405904998388","1","0.4007405904998388","-0.001","59","31716"
"3806","0.10550000000000001","0.1","0.0055","0.6584008478671393","1","0.6584008478671393","-0.0055","44","37034"
"2677","0.10675000000000001","0.1","0.00675","0.8485145835652395","1","0.8485145835652395","-0.00675","11","41226"
"2766","0.1","0.10500000000000001","0.005","1","0.823365072205525","0.823365072205525","0.005","-21","45507"
"2271","0.10825000000000001","0.1","0.00825","0.9529928717797462","1","0.9529928717797462","-0.00825","16","49291"
"2035","0.10375000000000001","0.1","0.00375","0.6757826452710238","1","0.6757826452710238","-0.00375","12","52841"
"2187","0.10025","0.1","0.00025","0.533426309057685","1","0.533426309057685","-0.00025","22","56541"
"2513","0.10625000000000001","0.1","0.00625","0.9021403039825959","1","0.9021403039825959","-0.00625","11","60567"
"2512","0.10975","0.1","0.00975","0.31178761066828875","1","0.31178761066828875","-0.00975","63","64592"
"2297","0.10400000000000001","0.1","0.004","0.3149521551108575","1","0.3149521551108575","-0.004","43","68400"
"2332","0.10700000000000001","0.1","0.007","0.8084640751092089","1","0.8084640751092089","-0.007","12","72244"
"2740","0.1","0.1005","0.0005","1","0.9263124685191325","0.9263124685191325","0.0005","-37","76492"
"3635","0.10200000000000001","0.1","0.002","0.647052867958337","1","0.647052867958337","-0.002","7","81641"
"2535","0.1","0.10250000000000001","0.0025","1","0.8487385199353653","0.8487385199353653","0.0025","-26","85691"
"2722","0.10075","0.1","0.00075","0.15052398408762302","1","0.15052398408762302","-0.00075","67","89925"
"2535","0.10925","0.1","0.00925","0.679836055062387","1","0.679836055062387","-0.00925","21","93976"
"2357","0.1","0.10875000000000001","0.00875","1","0.44564007720886967","0.44564007720886967","0.00875","-51","97842"
"2434","0.1","0.10575000000000001","0.00575","1","0.9959432149794212","0.9959432149794212","0.00575","-23","101787"
"2612","0.1","0.10475000000000001","0.00475","1","0.050958870554164815","0.050958870554164815","0.00475","-74","105909"
"2402","0.10175000000000001","0.1","0.00175","0.3808048424135215","1","0.3808048424135215","-0.00175","31","109826"
"2400","0.10650000000000001","0.1","0.006500000000000001","0.7871110735337334","1","0.7871110735337334","-0.006500000000000001","14","113734"
"4800","0.10225000000000001","0.1","0.0022500000000000003","0.967981612621659","1","0.967981612621659","-0.0022500000000000003","38","120043"
"2263","0.1","0.10850000000000001","0.0085","1","0.8339400057096434","0.8339400057096434","0.0085","-30","123817"
"2105","0.1","0.10275000000000001","0.00275","1","0.7499109631588167","0.7499109631588167","0.00275","-54","127435"
"2361","0.10725000000000001","0.1","0.00725","0.102347898921336","1","0.102347898921336","-0.00725","85","131308"
"2271","0.1","0.10125","0.00125","1","0.26649182771270363","0.26649182771270363","0.00125","-66","135091"
"2174","0.10450000000000001","0.1","0.0045000000000000005","0.32726763069131104","1","0.32726763069131104","-0.0045000000000000005","34","138775"
"3251","0.1015","0.1","0.0015","0.6510717700846234","1","0.6510717700846234","-0.0015","12","143542"
"2505","0.10800000000000001","0.1","0.008","0.969164659977661","1","0.969164659977661","-0.008","-6","147562"
"2258","0.10350000000000001","0.1","0.0035","0.8485230569670562","1","0.8485230569670562","-0.0035","6","151335"
"2281","0.1","0.10750000000000001","0.0075","1","0.9410292882174272","0.9410292882174272","0.0075","-49","155126"
"1990","0.1","0.10600000000000001","0.006","1","0.8940519309330621","0.8940519309330621","0.006","-28","158625"
"2922","0.1","0.10900000000000001","0.009000000000000001","1","0.17168896996191207","0.17168896996191207","0.009000000000000001","-73","163059"
"2920","0.10300000000000001","0.1","0.003","0.40767910750364256","1","0.40767910750364256","-0.003","72","167492"
"2426","0.1","0.10525000000000001","0.00525","1","0.11837845088153898","0.11837845088153898","0.00525","-91","171432"
"2198","0.1","0.10775000000000001","0.00775","1","0.4984327646882406","0.4984327646882406","0.00775","-76","175142"
